ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12052044,JD233956,05/15/2020 04:15:00 PM,038XX N ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,False,False,1922,19,47.0,6.0,14,1164968.0,1925606.0,2020,05/22/2020 03:42:38 PM,41.95147011,-87.668977369,"(41.95147011, -87.668977369)"
12197923,JD404447,10/19/2020 02:30:00 PM,018XX S SPRINGFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1014,10,24.0,29.0,08B,1150692.0,1890641.0,2020,12/17/2020 03:40:05 PM,41.855814401,-87.722371238,"(41.855814401, -87.722371238)"
13201508,JG413401,09/06/2023 06:00:00 AM,0000X E WACKER DR,0560,ASSAULT,SIMPLE,RESTAURANT,False,False,111,1,42.0,32.0,08A,1176994.0,1902568.0,2023,09/14/2023 03:43:09 PM,41.887988672,-87.625469546,"(41.887988672, -87.625469546)"
13204280,JG416577,09/06/2023 10:00:00 PM,125XX S HALSTED ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,523,5,9.0,53.0,07,1173275.0,1821685.0,2023,09/14/2023 03:43:09 PM,41.666119868,-87.641516349,"(41.666119868, -87.641516349)"
13202122,JG413867,09/06/2023 03:49:00 PM,005XX W LAKE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1214,12,34.0,28.0,06,1172574.0,1901698.0,2023,09/14/2023 03:43:09 PM,41.885700244,-87.641726854,"(41.885700244, -87.641726854)"
13201996,JG414004,09/06/2023 05:34:00 PM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,111,1,34.0,32.0,06,1176352.0,1900927.0,2023,09/14/2023 03:43:09 PM,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
13201840,JG413935,09/06/2023 01:30:00 PM,091XX S GREENWOOD AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,413,4,8.0,47.0,26,1185145.0,1844530.0,2023,09/14/2023 03:43:09 PM,41.72853976,-87.59736201,"(41.72853976, -87.59736201)"
13203847,JG415947,09/06/2023 05:07:00 PM,008XX N CLEVELAND AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,False,False,1823,18,27.0,8.0,26,1172755.0,1905735.0,2023,09/14/2023 03:43:09 PM,41.896774009,-87.640942565,"(41.896774009, -87.640942565)"
13208362,JG421538,09/02/2023 07:00:00 PM,003XX N ALBANY AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1222,12,27.0,27.0,06,1155660.0,1901983.0,2023,09/14/2023 03:41:59 PM,41.88683958,-87.70383084,"(41.88683958, -87.70383084)"
13207669,JG420702,08/25/2023 06:00:00 PM,086XX S ABERDEEN ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,613,6,17.0,71.0,02,1170496.0,1847472.0,2023,09/14/2023 03:41:59 PM,41.736944201,-87.650938817,"(41.736944201, -87.650938817)"
13202273,JG414304,09/06/2023 11:14:00 PM,094XX S BURNSIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,633,6,8.0,44.0,14,1182828.0,1842466.0,2023,09/14/2023 03:43:09 PM,41.72292995,-87.605913481,"(41.72292995, -87.605913481)"
13202761,JG414912,09/06/2023 09:30:00 PM,060XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,311,3,20.0,40.0,06,1178193.0,1864952.0,2023,09/14/2023 03:43:09 PM,41.784740334,-87.622210098,"(41.784740334, -87.622210098)"
13204815,JG413054,09/06/2023 05:08:00 AM,087XX S EUCLID AVE,0331,ROBBERY,ATTEMPT AGGRAVATED,STREET,False,False,412,4,8.0,48.0,03,1190699.0,1847509.0,2023,09/14/2023 03:43:09 PM,41.736582312,-87.57692092,"(41.736582312, -87.57692092)"
13202203,JG414275,09/06/2023 01:58:00 PM,030XX W LOGAN BLVD,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER (SPECIFY),False,False,1411,14,1.0,22.0,11,1155446.0,1917130.0,2023,09/14/2023 03:43:09 PM,41.928408571,-87.70420874,"(41.928408571, -87.70420874)"
13208320,JG421302,08/30/2023 11:00:00 AM,053XX N CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - GARAGE,False,False,2011,20,40.0,4.0,06,1156732.0,1935204.0,2023,09/14/2023 03:41:59 PM,41.977978764,-87.69899153,"(41.977978764, -87.69899153)"
13202233,JG414144,09/06/2023 08:02:00 PM,024XX E 97TH ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,True,False,431,4,7.0,51.0,03,1193823.0,1841114.0,2023,09/14/2023 03:43:09 PM,41.718957929,-87.56568476,"(41.718957929, -87.56568476)"
13203141,JG415094,09/06/2023 02:00:00 PM,055XX S CARPENTER ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,712,7,16.0,68.0,26,1170261.0,1867979.0,2023,09/14/2023 03:43:09 PM,41.793223108,-87.65120397,"(41.793223108, -87.65120397)"
